Item Branch 2nd Item Number,Item Branch Category Code 6,Item Branch G/L Category,Item-Branch Key,Item Branch Reorder Quantity,Short Name
265062,1015,SRCW,CR-10939,0,10939
265062,1015,SRCW,CR-10939,0,10939
915396,5020,MKTG,CR-10102,0,10102
915396,5020,MKTG,CR-10102,0,10102
35012,1055,SHUB,PC-10350,0,10350
35012,1055,SHUB,PC-10350,0,10350
11064,1025,TFAB,CR-10177,0,10177
11064,1025,TFAB,CR-10177,0,10177
23672,1015,SRCW,CR-10517,0,10517
23672,1015,SRCW,CR-10517,0,10517
30091,1030,TMTG,CR-10966,0,10966
30091,1030,TMTG,CR-10966,0,10966
31515,1015,SRCW,CR-10070,0,10070
31515,1015,SRCW,CR-10070,0,10070
32966,1035,ACCE,CR-10197,0,10197
32966,1035,ACCE,CR-10197,0,10197
34739,1035,ACCE,CR-10306,0,10306
34739,1035,ACCE,CR-10306,0,10306
37026,1050,AFAB,CR-10495,0,10495
37026,1050,AFAB,CR-10495,0,10495
37491,1015,SRCW,CR-10576,0,10576
